,Freq,Amps
0,0.0,0.000632690919895274
1,1.0,0.005333391740908728
2,2.0,0.0005707800233268395
3,3.0,0.0013853372589674585
4,4.0,0.0030285464677283847
5,5.0,0.004058648504569318
6,6.0,0.0034387494228529727
7,7.0,0.0014758510228264747
8,8.0,0.0022941366890578954
9,9.0,0.002937200632427531
10,10.0,0.0029850099854868565
11,11.0,0.00314699856125957
12,12.0,0.0027396276472061976
13,13.0,0.0021648600772897473
14,14.0,0.004506250161218357
15,15.0,0.002779949511747964
16,16.0,0.0026621956656197147
17,17.0,0.0024242735388184627
18,18.0,0.001966459023866921
19,19.0,0.0031948992681382904
20,20.0,0.004554646621766357
21,21.0,0.005429550726859038
22,22.0,0.0036383909019490693
23,23.0,0.003409826895647917
24,24.0,0.0029926631337341783
25,25.0,0.004647313907507566
26,26.0,0.0027204467891564854
27,27.0,0.0024215255657746544
28,28.0,0.0023677595690231043
29,29.0,0.0008822561058132878
30,30.0,0.0028293478071746542
31,31.0,0.0007840268641472228
32,32.0,0.0006055379022568917
33,33.0,0.0011924338194122034
34,34.0,0.003947359238113483
35,35.0,0.002796067879292518
36,36.0,0.004265114265391649
37,37.0,0.0060091677420531725
38,38.0,0.0013710097998195568
39,39.0,0.0033343656448557996
40,40.0,0.002307544173581418
41,41.0,0.000599519179344023
42,42.0,0.0045891382673399345
43,43.0,0.0032317101862298176
44,44.0,0.0017197571347067552
45,45.0,0.0035079503946406467
46,46.0,0.0021399346374835868
47,47.0,0.003144717105644114
48,48.0,0.00040389843436793797
49,49.0,0.0007528914430791811
50,50.0,0.0005570698903393766
51,51.0,0.0035009164179591224
52,52.0,0.006936874239929258
53,53.0,0.0010352934605129874
54,54.0,0.001457515184131064
55,55.0,0.0032100603939847847
56,56.0,0.00622842158253449
57,57.0,0.002310764215817616
58,58.0,0.0017512935359039242
59,59.0,0.002355010873353256
60,60.0,0.0030056424535041936
61,61.0,0.0019170137851811913
62,62.0,0.004367594729321401
63,63.0,0.004575475260223979
64,64.0,0.004239905556752885
65,65.0,0.00352040111448747
